dataset_index,shared_height_source_id,cv_process_group,target,component,variant,fold,model,observed,predicted,train_null,score_scale,alpha
197,zro2_60_pass:m029,BASE:T04,D,median_depth_um,proc_gkf,1,h_only,2.9207271337509155,27.275571576047174,27.368467758700717,1.0,316.22776601683796
198,zro2_60_pass:m030,BASE:T04,D,median_depth_um,proc_gkf,1,h_only,9.415826797485352,27.275571576047174,27.368467758700717,1.0,316.22776601683796
199,zro2_60_pass:m030,BASE:T04,D,median_depth_um,proc_gkf,1,h_only,6.082921266555786,27.275571576047174,27.368467758700717,1.0,316.22776601683796
1,zro2_120_formal:m002,FQ:500:2:4:9|N5,D,median_depth_um,proc_gkf,2,h_only,8.637125968933105,29.170508616877854,25.58545929309912,1.0,31.622776601683793
13,zro2_120_formal:m014,FQ:500:10:10:9|N2,D,median_depth_um,proc_gkf,2,h_only,7.083702087402344,20.01719119446406,25.58545929309912,1.0,31.622776601683793
14,zro2_120_formal:m015,FQ:500:50:8:7|N1,D,median_depth_um,proc_gkf,2,h_only,6.098482370376587,23.068297001935328,25.58545929309912,1.0,31.622776601683793
18,zro2_120_formal:m019,FQ:500:100:4:11|N1,D,median_depth_um,proc_gkf,2,h_only,6.017935276031494,29.170508616877854,25.58545929309912,1.0,31.622776601683793
22,zro2_120_formal:m023,FQ:500:200:8:3|N4,D,median_depth_um,proc_gkf,2,h_only,63.91909408569336,23.068297001935328,25.58545929309912,1.0,31.622776601683793
29,zro2_120_formal:m030,FQ:1000:10:6:7|N2,D,median_depth_um,proc_gkf,2,h_only,17.576498985290527,26.11940280940659,25.58545929309912,1.0,31.622776601683793
33,zro2_120_formal:m034,FQ:1000:50:6:3|N3,D,median_depth_um,proc_gkf,2,h_only,55.18541145324707,26.11940280940659,25.58545929309912,1.0,31.622776601683793
39,zro2_120_formal:m040,FQ:1000:100:6:5|N5,D,median_depth_um,proc_gkf,2,h_only,57.65474891662598,26.11940280940659,25.58545929309912,1.0,31.622776601683793
44,zro2_120_formal:m045,FQ:1000:200:6:7|N3,D,median_depth_um,proc_gkf,2,h_only,49.597900390625,26.11940280940659,25.58545929309912,1.0,31.622776601683793
52,zro2_120_formal:m053,FQ:2000:10:2:9|N2,D,median_depth_um,proc_gkf,2,h_only,29.101886749267578,32.22161442434912,25.58545929309912,1.0,31.622776601683793
53,zro2_120_formal:m054,FQ:2000:10:2:5|N3,D,median_depth_um,proc_gkf,2,h_only,41.76206398010254,32.22161442434912,25.58545929309912,1.0,31.622776601683793
56,zro2_120_formal:m057,FQ:2000:50:4:9|N3,D,median_depth_um,proc_gkf,2,h_only,44.87353515625,29.170508616877854,25.58545929309912,1.0,31.622776601683793
62,zro2_120_formal:m063,FQ:2000:100:6:5|N4,D,median_depth_um,proc_gkf,2,h_only,58.803592681884766,26.11940280940659,25.58545929309912,1.0,31.622776601683793
68,zro2_120_formal:m069,FQ:2000:200:4:7|N1,D,median_depth_um,proc_gkf,2,h_only,6.6173996925354,29.170508616877854,25.58545929309912,1.0,31.622776601683793
70,zro2_120_formal:m071,FQ:2000:200:10:3|N2,D,median_depth_um,proc_gkf,2,h_only,17.18430995941162,20.01719119446406,25.58545929309912,1.0,31.622776601683793
72,zro2_120_formal:m073,FQ:4000:2:2:5|N5,D,median_depth_um,proc_gkf,2,h_only,27.422245979309082,32.22161442434912,25.58545929309912,1.0,31.622776601683793
76,zro2_120_formal:m077,FQ:4000:10:2:7|N2,D,median_depth_um,proc_gkf,2,h_only,29.09636402130127,32.22161442434912,25.58545929309912,1.0,31.622776601683793
82,zro2_120_formal:m083,FQ:4000:50:4:3|N3,D,median_depth_um,proc_gkf,2,h_only,45.0401725769043,29.170508616877854,25.58545929309912,1.0,31.622776601683793
90,zro2_120_formal:m091,FQ:4000:200:4:9|N3,D,median_depth_um,proc_gkf,2,h_only,47.333452224731445,29.170508616877854,25.58545929309912,1.0,31.622776601683793
102,zro2_120_formal:m103,FQ:6000:2:8:11|N5,D,median_depth_um,proc_gkf,2,h_only,2.336227536201477,23.068297001935328,25.58545929309912,1.0,31.622776601683793
105,zro2_120_formal:m106,FQ:6000:10:4:5|N1,D,median_depth_um,proc_gkf,2,h_only,12.883959293365479,29.170508616877854,25.58545929309912,1.0,31.622776601683793
111,zro2_120_formal:m112,FQ:6000:50:10:11|N2,D,median_depth_um,proc_gkf,2,h_only,19.06198024749756,20.01719119446406,25.58545929309912,1.0,31.622776601683793
113,zro2_120_formal:m114,FQ:6000:100:2:9|N4,D,median_depth_um,proc_gkf,2,h_only,46.77769660949707,32.22161442434912,25.58545929309912,1.0,31.622776601683793
119,zro2_120_formal:m120,FQ:6000:200:6:3|N5,D,median_depth_um,proc_gkf,2,h_only,49.9108829498291,26.11940280940659,25.58545929309912,1.0,31.622776601683793
126,zro2_20_supplement:m004,BASE:T02,D,median_depth_um,proc_gkf,2,h_only,49.35401725769043,29.170508616877854,25.58545929309912,1.0,31.622776601683793
127,zro2_20_supplement:m004,BASE:T02,D,median_depth_um,proc_gkf,2,h_only,52.26996612548828,29.170508616877854,25.58545929309912,1.0,31.622776601683793
138,zro2_20_supplement:m010,BASE:T10,D,median_depth_um,proc_gkf,2,h_only,28.943305015563965,32.22161442434912,25.58545929309912,1.0,31.622776601683793
139,zro2_20_supplement:m010,BASE:T10,D,median_depth_um,proc_gkf,2,h_only,32.60516548156738,32.22161442434912,25.58545929309912,1.0,31.622776601683793
140,zro2_60_pass:m001,BASE:T03,D,median_depth_um,proc_gkf,2,h_only,3.393480896949768,29.170508616877854,25.58545929309912,1.0,31.622776601683793
141,zro2_60_pass:m001,BASE:T03,D,median_depth_um,proc_gkf,2,h_only,35.72157287597656,29.170508616877854,25.58545929309912,1.0,31.622776601683793
142,zro2_60_pass:m002,BASE:T03,D,median_depth_um,proc_gkf,2,h_only,44.428436279296875,29.170508616877854,25.58545929309912,1.0,31.622776601683793
143,zro2_60_pass:m002,BASE:T03,D,median_depth_um,proc_gkf,2,h_only,50.90607452392578,29.170508616877854,25.58545929309912,1.0,31.622776601683793
152,zro2_60_pass:m007,BASE:T02,D,median_depth_um,proc_gkf,2,h_only,43.12703895568848,29.170508616877854,25.58545929309912,1.0,31.622776601683793
153,zro2_60_pass:m007,BASE:T02,D,median_depth_um,proc_gkf,2,h_only,0.051428208127617836,29.170508616877854,25.58545929309912,1.0,31.622776601683793
154,zro2_60_pass:m008,BASE:T02,D,median_depth_um,proc_gkf,2,h_only,26.92369270324707,29.170508616877854,25.58545929309912,1.0,31.622776601683793
155,zro2_60_pass:m008,BASE:T02,D,median_depth_um,proc_gkf,2,h_only,37.00133514404297,29.170508616877854,25.58545929309912,1.0,31.622776601683793
168,zro2_60_pass:m015,BASE:T10,D,median_depth_um,proc_gkf,2,h_only,12.661317825317383,32.22161442434912,25.58545929309912,1.0,31.622776601683793
