i,j,pair_type,d_phi
93,184,random_ordinary,0.9835338401129395
20,5,random_ordinary,0.9846133742581508
142,90,random_ordinary,0.9862187319742651
80,97,random_ordinary,0.981580792466404
90,186,random_ordinary,0.9845563837751354
115,153,random_ordinary,0.9837950575190064
91,101,random_ordinary,0.9895371652104501
39,150,random_ordinary,0.9881109735498579
59,56,random_ordinary,0.9883428871163509
136,105,random_ordinary,0.9839422927564652
189,159,random_ordinary,0.988559440531418
132,11,random_ordinary,0.9792194886978661
115,28,random_ordinary,0.9886197989921846
67,196,random_ordinary,0.9852173926526084
71,134,random_ordinary,0.9789556849649458
22,1,random_ordinary,0.9863808228456753
77,28,random_ordinary,0.9824561846228661
172,86,random_ordinary,0.9891511188474454
114,113,random_ordinary,0.9896782806931147
29,76,random_ordinary,0.9848470159188828
106,138,random_ordinary,0.9835709170220107
171,191,random_ordinary,0.981934196469412
62,199,random_ordinary,0.987264655770444
32,86,random_ordinary,0.9771984491938881
62,169,random_ordinary,0.9859283939320843
6,113,random_ordinary,0.9876634622477763
49,112,random_ordinary,0.9858367700090918
106,72,random_ordinary,0.9845992348974711
159,5,random_ordinary,0.9810781352240989
45,4,random_ordinary,0.9831401875962542
40,197,random_ordinary,0.9685571181553564
190,9,random_ordinary,0.9831655000563753
158,82,random_ordinary,0.9886142313272431
11,149,random_ordinary,0.9803016781840048
188,185,random_ordinary,0.9857020701274835
46,68,random_ordinary,0.9880172519260737
153,74,random_ordinary,0.982670754375717
75,128,random_ordinary,0.9830038491764124
187,109,random_ordinary,0.9869267502072191
172,134,random_ordinary,0.9849561352473301
189,67,random_ordinary,0.9857335070021447
63,150,random_ordinary,0.9865155930834933
146,197,random_ordinary,0.9838464299945303
9,125,random_ordinary,0.9902912348197811
128,20,random_ordinary,0.9823837390679306
68,143,random_ordinary,0.980650768219586
179,163,random_ordinary,0.9815503927404413
2,115,random_ordinary,0.9872213493040899
62,59,random_ordinary,0.9784003966373715
3,138,random_ordinary,0.9844363838619236
148,118,random_ordinary,0.9852799189416437
172,181,random_ordinary,0.9816575124567762
105,154,random_ordinary,0.9870025591455035
128,140,random_ordinary,0.9829950085621768
137,158,random_ordinary,0.9824590026013653
43,1,random_ordinary,0.9830943226629492
93,45,random_ordinary,0.9915458343254735
54,129,random_ordinary,0.9842388494501283
121,187,random_ordinary,0.9821567781923928
78,122,random_ordinary,0.9792715277906775
74,169,random_ordinary,0.9868769406364576
132,135,random_ordinary,0.9813030075824762
80,53,random_ordinary,0.9861385285393891
90,21,random_ordinary,0.9877831050792079
185,159,random_ordinary,0.987094673006008
4,98,random_ordinary,0.9736787851459563
12,134,random_ordinary,0.9855195620774344
95,87,random_ordinary,0.9848247110536114
14,103,random_ordinary,0.9788358457995039
57,137,random_ordinary,0.9836591279814851
45,161,random_ordinary,0.9840485436812453
10,37,random_ordinary,0.9828510443637563
125,119,random_ordinary,0.988097343556194
146,7,random_ordinary,0.9864669151920089
150,5,random_ordinary,0.9892661031735839
65,96,random_ordinary,0.9890502952937039
45,176,random_ordinary,0.984607273120039
96,117,random_ordinary,0.9656431251473763
137,189,random_ordinary,0.9845551992121102
117,196,random_ordinary,0.982014866792915
106,9,random_ordinary,0.9823245977516192
98,2,random_ordinary,0.984470293358389
151,100,random_ordinary,0.9836741521791771
112,36,random_ordinary,0.9310731578651952
174,15,random_ordinary,0.9828842309890368
168,48,random_ordinary,0.9865048948372679
47,147,random_ordinary,0.9880977724542205
140,70,random_ordinary,0.9821693917763991
96,142,random_ordinary,0.9851302058054248
124,190,random_ordinary,0.9822325543573788
52,134,random_ordinary,0.9765157254118618
