dataset_index,target_block,band_valid,band_energy,undefined_reason
39,16_32,True,32556.770630132844,
40,ILR,True,23701.895835727017,
40,8_16,True,3261.411557220721,
40,16_32,True,6322.20242118854,
41,ILR,True,14594.883793522466,
41,8_16,True,6254.218597319978,
41,16_32,True,4926.065724655621,
42,ILR,True,140129.61655411235,
42,8_16,True,4848.705234766313,
42,16_32,True,10558.224482054598,
43,ILR,True,506038.8429376133,
43,8_16,True,9587.858962827155,
43,16_32,True,43681.67967442352,
44,ILR,True,747201.7725609856,
44,8_16,True,97434.99131755557,
44,16_32,True,158607.0167273837,
45,ILR,True,9786.435528531663,
45,8_16,True,2723.399930840208,
45,16_32,True,3929.746857927377,
46,ILR,True,58476.547133060776,
46,8_16,True,8699.751779410648,
46,16_32,True,18247.614987003642,
47,ILR,True,13944.931524954382,
47,8_16,True,4387.973529436959,
47,16_32,True,2522.981189879264,
48,ILR,True,1228.1735912440097,
48,8_16,True,304.49393780045887,
48,16_32,True,198.98370477285764,
49,ILR,True,1237.4773942304507,
49,8_16,True,261.653442268134,
49,16_32,True,175.04693608929912,
50,ILR,True,17818.81805472313,
50,8_16,True,16451.877394279018,
50,16_32,True,267.06270832225476,
51,ILR,True,33649.303004199115,
51,8_16,True,1055.7554977771824,
51,16_32,True,1724.8012413838212,
52,ILR,True,4832.374031055846,
52,8_16,True,405.27551520121665,
52,16_32,True,261.3801202540845,
53,ILR,True,31248.34630251798,
53,8_16,True,4666.9603526213505,
53,16_32,True,4407.832306914688,
54,ILR,True,7643.009522283564,
54,8_16,True,4312.877814758927,
54,16_32,True,2223.215944664018,
55,ILR,True,5164.572216982376,
55,8_16,True,4531.535838238774,
55,16_32,True,2583.753214346879,
56,ILR,True,2426.1623625059915,
56,8_16,True,556.7585544801441,
56,16_32,True,302.1560358982511,
57,ILR,True,384899.5254727252,
57,8_16,True,4095.528201914196,
57,16_32,True,13658.629535407357,
58,ILR,True,219401.55924114102,
58,8_16,True,11200.813934382844,
58,16_32,True,21465.482049686336,
59,ILR,True,38901.875216541455,
59,8_16,True,26765.12341216129,
59,16_32,True,6172.044591903322,
60,ILR,True,245361.5226451006,
60,8_16,True,3231.9647118044613,
60,16_32,True,3758.0891588777945,
61,ILR,True,81196.20729613246,
61,8_16,True,2525.2986317458913,
61,16_32,True,2890.3378426574172,
62,ILR,True,144649.5135639667,
62,8_16,True,18967.435657127433,
62,16_32,True,21818.060028313084,
63,ILR,True,61902.189105793506,
63,8_16,True,21318.417200835516,
63,16_32,True,18158.889377520754,
64,ILR,True,32041.751263042166,
64,8_16,True,8662.324252103306,
64,16_32,True,5528.791256855257,
