job,vector,D_um,A_um,implausible_depth,all_finite,accepted,failure
domain_P11_80_w3.0_r1,"[8.387138203213855, -25.392942005333914, 0.6577192878093499, -3.388727585469479, 0.9690700816668558, 0.27515244091411395]",0.0032737905263038897,6.060800764799952e-05,False,True,True,
domain_P11_81_w0.874_r3,"[10.830723493919683, -26.152209762316858, -5.826238593713235, 1.5068996901793321, 0.4879613419352027, 0.49151617631329336]",-0.0,3.6363481127123714e-05,False,True,True,
domain_P11_81_w0.874_r1,"[10.830723493919683, -26.152209762316858, -5.826238593713235, 1.5068996901793321, 0.4879613419352027, 0.49151617631329336]",5.721591223680571e-05,5.7423920942579415e-05,False,True,True,
domain_P11_81_w0.874_r0,"[10.830723493919683, -26.152209762316858, -5.826238593713235, 1.5068996901793321, 0.4879613419352027, 0.49151617631329336]",6.211259959945908e-05,7.596363008611285e-05,False,True,True,
domain_P11_81_w2.0_r3,"[10.830723493919683, -26.152209762316858, -5.826238593713235, 1.5068996901793321, 0.4879613419352027, 0.49151617631329336]",7.548611412766502e-05,3.502469955317097e-05,False,True,True,
domain_P11_80_w3.0_r0,"[8.387138203213855, -25.392942005333914, 0.6577192878093499, -3.388727585469479, 0.9690700816668558, 0.27515244091411395]",0.004291505500929124,0.00011715205564401528,False,True,True,
domain_P11_81_w2.0_r1,"[10.830723493919683, -26.152209762316858, -5.826238593713235, 1.5068996901793321, 0.4879613419352027, 0.49151617631329336]",0.0002292359394688411,2.9424378229209103e-05,False,True,True,
domain_P11_81_w2.0_r0,"[10.830723493919683, -26.152209762316858, -5.826238593713235, 1.5068996901793321, 0.4879613419352027, 0.49151617631329336]",0.0003101191239324983,1.4279575666432288e-05,False,True,True,
domain_P11_81_w3.0_r3,"[10.830723493919683, -26.152209762316858, -5.826238593713235, 1.5068996901793321, 0.4879613419352027, 0.49151617631329336]",0.00013405051999712745,9.826076804978304e-06,False,True,True,
domain_P11_77_w0.874_r1,"[4.78517832377043, -14.822863983573221, -7.638420874567533, -2.038122609244237, -0.34458775504030825, 0.8186099918440086]",5167.9310309863395,1501.73335875986,True,True,True,
domain_P11_82_w0.874_r3,"[9.514227521571051, -22.891263312078028, -8.412956812819123, 0.6048029762521807, 0.762075358166721, -0.3866720099911759]",-0.0,0.0021122782967271385,False,True,True,
domain_P11_82_w0.874_r1,"[9.514227521571051, -22.891263312078028, -8.412956812819123, 0.6048029762521807, 0.762075358166721, -0.3866720099911759]",0.0038681285544768973,0.0030012778751713413,False,True,True,
domain_P11_82_w0.874_r0,"[9.514227521571051, -22.891263312078028, -8.412956812819123, 0.6048029762521807, 0.762075358166721, -0.3866720099911759]",0.004622684661386056,0.004193915873033429,False,True,True,
domain_P11_82_w2.0_r3,"[9.514227521571051, -22.891263312078028, -8.412956812819123, 0.6048029762521807, 0.762075358166721, -0.3866720099911759]",0.004744412639910863,0.0018027367200950648,False,True,True,
domain_P11_81_w3.0_r1,"[10.830723493919683, -26.152209762316858, -5.826238593713235, 1.5068996901793321, 0.4879613419352027, 0.49151617631329336]",0.00045670263726306395,1.8695129573510544e-05,False,True,True,
domain_P11_81_w3.0_r0,"[10.830723493919683, -26.152209762316858, -5.826238593713235, 1.5068996901793321, 0.4879613419352027, 0.49151617631329336]",0.0006025906372252103,4.091921314919242e-05,False,True,True,
domain_P11_82_w2.0_r1,"[9.514227521571051, -22.891263312078028, -8.412956812819123, 0.6048029762521807, 0.762075358166721, -0.3866720099911759]",0.014713368041299395,0.0018418630183558299,False,True,True,
domain_P11_82_w2.0_r0,"[9.514227521571051, -22.891263312078028, -8.412956812819123, 0.6048029762521807, 0.762075358166721, -0.3866720099911759]",0.02011659247079561,0.0007388649026171824,False,True,True,
