descriptor,error,passed,reason,job,switch,waist_um,dataset_index,check
ilr_z1,0.0029823396335815072,True,,grid_1_P00_w3.0,P00,3.0,1,grid_finest
ilr_z2,0.0032417143256487585,True,,grid_1_P00_w3.0,P00,3.0,1,grid_finest
ilr_z3,0.0007636110751172431,True,,grid_1_P00_w3.0,P00,3.0,1,grid_finest
ilr_z4,0.0001360366040866496,True,,grid_1_P00_w3.0,P00,3.0,1,grid_finest
A2_8_16,0.00031520432674581045,True,,grid_1_P00_w3.0,P00,3.0,1,grid_finest
entropy_8_16,6.941417143502271e-05,True,,grid_1_P00_w3.0,P00,3.0,1,grid_finest
A2_16_32,0.000549328288620754,True,,grid_1_P00_w3.0,P00,3.0,1,grid_finest
entropy_16_32,3.3453020653051446e-05,True,,grid_1_P00_w3.0,P00,3.0,1,grid_finest
D,9.266542448268587e-05,True,,grid_1_P00_w3.0,P00,3.0,1,grid_to_direct_points
A_med,0.0012558643723543173,True,,grid_1_P00_w3.0,P00,3.0,1,grid_to_direct_points
ilr_z1,0.0007381242739404842,True,,grid_1_P00_w3.0,P00,3.0,1,grid_to_direct_points
ilr_z2,0.0007844169746776482,True,,grid_1_P00_w3.0,P00,3.0,1,grid_to_direct_points
ilr_z3,0.00019864103710898195,True,,grid_1_P00_w3.0,P00,3.0,1,grid_to_direct_points
ilr_z4,3.5267702443209786e-05,True,,grid_1_P00_w3.0,P00,3.0,1,grid_to_direct_points
A2_8_16,0.00013269711172081422,True,,grid_1_P00_w3.0,P00,3.0,1,grid_to_direct_points
entropy_8_16,7.02204050924693e-05,True,,grid_1_P00_w3.0,P00,3.0,1,grid_to_direct_points
A2_16_32,0.0002588028303291967,True,,grid_1_P00_w3.0,P00,3.0,1,grid_to_direct_points
entropy_16_32,7.72983067131583e-05,True,,grid_1_P00_w3.0,P00,3.0,1,grid_to_direct_points
D,0.0,True,,grid_3_P10_w0.874,P10,0.874,3,grid_finest
A_med,0.001982854185047272,True,,grid_3_P10_w0.874,P10,0.874,3,grid_finest
ilr_z1,0.0011267458898978383,True,,grid_3_P10_w0.874,P10,0.874,3,grid_finest
ilr_z2,0.003716803674110425,True,,grid_3_P10_w0.874,P10,0.874,3,grid_finest
ilr_z3,0.0001458496281441235,True,,grid_3_P10_w0.874,P10,0.874,3,grid_finest
ilr_z4,2.586822438769426e-05,True,,grid_3_P10_w0.874,P10,0.874,3,grid_finest
A2_8_16,4.572509704203753e-09,True,,grid_3_P10_w0.874,P10,0.874,3,grid_finest
entropy_8_16,7.21068623976695e-08,True,,grid_3_P10_w0.874,P10,0.874,3,grid_finest
A2_16_32,0.0015619715785855082,True,,grid_3_P10_w0.874,P10,0.874,3,grid_finest
entropy_16_32,0.0004648645844376742,True,,grid_3_P10_w0.874,P10,0.874,3,grid_finest
D,0.0,True,,grid_3_P10_w0.874,P10,0.874,3,grid_to_direct_points
A_med,0.0006674508723113322,True,,grid_3_P10_w0.874,P10,0.874,3,grid_to_direct_points
ilr_z1,7.142267393499614e-05,True,,grid_3_P10_w0.874,P10,0.874,3,grid_to_direct_points
ilr_z2,0.0003636882390124496,True,,grid_3_P10_w0.874,P10,0.874,3,grid_to_direct_points
ilr_z3,1.4962544252039578e-05,True,,grid_3_P10_w0.874,P10,0.874,3,grid_to_direct_points
ilr_z4,2.6506423301941168e-06,True,,grid_3_P10_w0.874,P10,0.874,3,grid_to_direct_points
A2_8_16,7.65911778444206e-11,True,,grid_3_P10_w0.874,P10,0.874,3,grid_to_direct_points
entropy_8_16,1.1226784779605481e-10,True,,grid_3_P10_w0.874,P10,0.874,3,grid_to_direct_points
A2_16_32,1.3366981012397083e-05,True,,grid_3_P10_w0.874,P10,0.874,3,grid_to_direct_points
entropy_16_32,5.5235401985043175e-06,True,,grid_3_P10_w0.874,P10,0.874,3,grid_to_direct_points
D,0.00016758405837022638,True,,grid_0_P00_w3.0,P00,3.0,0,grid_finest
A_med,0.001513075046559342,True,,grid_0_P00_w3.0,P00,3.0,0,grid_finest
ilr_z1,0.00024384993466758584,True,,grid_0_P00_w3.0,P00,3.0,0,grid_finest
ilr_z2,0.0003069384738859162,True,,grid_0_P00_w3.0,P00,3.0,0,grid_finest
ilr_z3,6.273248743609457e-05,True,,grid_0_P00_w3.0,P00,3.0,0,grid_finest
ilr_z4,1.1180790076521091e-05,True,,grid_0_P00_w3.0,P00,3.0,0,grid_finest
A2_8_16,1.335996562268349e-07,True,,grid_0_P00_w3.0,P00,3.0,0,grid_finest
entropy_8_16,1.6354978428501088e-06,True,,grid_0_P00_w3.0,P00,3.0,0,grid_finest
A2_16_32,1.4334009942773562e-05,True,,grid_0_P00_w3.0,P00,3.0,0,grid_finest
entropy_16_32,1.57330683149548e-05,True,,grid_0_P00_w3.0,P00,3.0,0,grid_finest
D,8.913663053020199e-05,True,,grid_0_P00_w3.0,P00,3.0,0,grid_to_direct_points
A_med,0.0019019783856424222,True,,grid_0_P00_w3.0,P00,3.0,0,grid_to_direct_points
ilr_z1,8.78633702702678e-05,True,,grid_0_P00_w3.0,P00,3.0,0,grid_to_direct_points
ilr_z2,0.0001064428353463751,True,,grid_0_P00_w3.0,P00,3.0,0,grid_to_direct_points
ilr_z3,2.4450693578675424e-05,True,,grid_0_P00_w3.0,P00,3.0,0,grid_to_direct_points
ilr_z4,4.378217476973256e-06,True,,grid_0_P00_w3.0,P00,3.0,0,grid_to_direct_points
A2_8_16,5.047130879898276e-08,True,,grid_0_P00_w3.0,P00,3.0,0,grid_to_direct_points
entropy_8_16,1.4464866860686154e-06,True,,grid_0_P00_w3.0,P00,3.0,0,grid_to_direct_points
A2_16_32,1.0816138973357425e-07,True,,grid_0_P00_w3.0,P00,3.0,0,grid_to_direct_points
entropy_16_32,2.451704409683897e-06,True,,grid_0_P00_w3.0,P00,3.0,0,grid_to_direct_points
D,0.004621635965679803,True,,grid_2_P10_w0.874,P10,0.874,2,grid_finest
A_med,0.0033519179683870167,True,,grid_2_P10_w0.874,P10,0.874,2,grid_finest
ilr_z1,0.000941665343055806,True,,grid_2_P10_w0.874,P10,0.874,2,grid_finest
ilr_z2,0.0014360216778261537,True,,grid_2_P10_w0.874,P10,0.874,2,grid_finest
ilr_z3,0.0001763766233429485,True,,grid_2_P10_w0.874,P10,0.874,2,grid_finest
ilr_z4,3.257562078695306e-05,True,,grid_2_P10_w0.874,P10,0.874,2,grid_finest
A2_8_16,1.4401267963704e-06,True,,grid_2_P10_w0.874,P10,0.874,2,grid_finest
entropy_8_16,3.5438575589352705e-06,True,,grid_2_P10_w0.874,P10,0.874,2,grid_finest
A2_16_32,8.432606911301654e-06,True,,grid_2_P10_w0.874,P10,0.874,2,grid_finest
entropy_16_32,3.2301532781747744e-05,True,,grid_2_P10_w0.874,P10,0.874,2,grid_finest
D,0.0015334611601279017,True,,grid_2_P10_w0.874,P10,0.874,2,grid_to_direct_points
A_med,0.0005158947093094552,True,,grid_2_P10_w0.874,P10,0.874,2,grid_to_direct_points
ilr_z1,6.728192199551431e-05,True,,grid_2_P10_w0.874,P10,0.874,2,grid_to_direct_points
ilr_z2,9.782449459854477e-05,True,,grid_2_P10_w0.874,P10,0.874,2,grid_to_direct_points
ilr_z3,1.3996054596712999e-05,True,,grid_2_P10_w0.874,P10,0.874,2,grid_to_direct_points
ilr_z4,2.591890792567886e-06,True,,grid_2_P10_w0.874,P10,0.874,2,grid_to_direct_points
A2_8_16,1.1092449569982676e-07,True,,grid_2_P10_w0.874,P10,0.874,2,grid_to_direct_points
