dataset_index,model,target,fold,y_true,y_pred,abs_error,norm_abs_error
41,extratrees,A2_8_16,3,0.9018776320703372,0.6282825533387032,0.273595078731634,0.5223511524740707
42,extratrees,A2_8_16,2,0.583344535910139,0.7909721598906484,0.20762762398050938,0.37439134876226293
43,extratrees,A2_8_16,1,0.2781051908557878,0.5075188139388238,0.22941362308303603,0.407362630309919
44,extratrees,A2_8_16,0,0.4969059601599218,0.3657409883778525,0.13116497178206926,0.2351839734776409
45,extratrees,A2_8_16,4,0.3052190068929357,0.4515751375731801,0.1463561306802444,0.27161953740365147
46,extratrees,A2_8_16,3,0.6473069095335849,0.4895480087204455,0.15775890081313942,0.3011952701591411
47,extratrees,A2_8_16,2,0.513788694775703,0.5219185450205766,0.00812985024487356,0.01465963699849087
48,extratrees,A2_8_16,1,0.1439422060414616,0.3279921883618633,0.18404998232040168,0.3268118252916295
49,extratrees,A2_8_16,0,0.1529213376419045,0.231238253616835,0.07831691597493051,0.1404253227004972
50,extratrees,A2_8_16,4,0.968531796740373,0.9274294419092408,0.041102354831132226,0.07628107243299684
51,extratrees,A2_8_16,3,0.12792012603282,0.1119709182655559,0.015949207767264093,0.03045042731360917
52,extratrees,A2_8_16,2,0.0120799449422375,0.1440610123230931,0.1319810673808556,0.23798649178030443
53,extratrees,A2_8_16,1,0.1494548018772401,0.1086626306390568,0.04079217123818331,0.07243338886472489
54,extratrees,A2_8_16,0,0.9009628591577852,0.91270585860563,0.011742999447844849,0.021055661684421127
55,extratrees,A2_8_16,4,0.1144279319118449,0.27025651863591,0.15582858672406508,0.2891992869962409
56,extratrees,A2_8_16,3,0.1551199380862315,0.1864255961807139,0.03130565809448238,0.05976915469540335
57,extratrees,A2_8_16,2,0.3894175170945714,0.3102550776681401,0.07916243942643131,0.14274464977239607
58,extratrees,A2_8_16,1,0.4585070295278349,0.3783680671924961,0.08013896233533879,0.14230026119859102
59,extratrees,A2_8_16,0,0.7762643093733309,0.6825746948070113,0.09368961456631963,0.16798917826861365
60,extratrees,A2_8_16,4,0.404614653604061,0.1754199678493648,0.2291946857546962,0.42535802381983207
