target,variant,model,fold,skill_q2,alpha,n_train,n_test
Ot_A2,src_gkf_inbox,h_only,1,0.7563629673744536,1.0,81,20
Ot_A2,src_gkf_inbox,h_only,2,0.6941971291417859,0.1,81,20
Ot_A2,src_gkf_inbox,h_only,3,0.7477049272616105,0.001,81,20
Ot_A2,src_gkf_inbox,h_only,4,0.6948484702931408,0.001,81,20
Ot_A2,src_gkf_inbox,minus_h,0,-0.0028491817523348395,1000.0,80,21
Ot_A2,src_gkf_inbox,minus_h,1,-0.004623518823115624,1000.0,81,20
Ot_A2,src_gkf_inbox,minus_h,2,-0.003384027167603554,1000.0,81,20
Ot_A2,src_gkf_inbox,minus_h,3,-0.0020783442223835102,1000.0,81,20
Ot_A2,src_gkf_inbox,minus_h,4,-0.0029492714083083627,1000.0,81,20
Ot_A2,src_gkf_inbox,dummy,0,0.0,,80,21
Ot_A2,src_gkf_inbox,dummy,1,0.0,,81,20
Ot_A2,src_gkf_inbox,dummy,2,0.0,,81,20
Ot_A2,src_gkf_inbox,dummy,3,0.0,,81,20
Ot_A2,src_gkf_inbox,dummy,4,0.0,,81,20
Ot_ent,src_gkf_inbox,full,0,0.7314882877423282,3.1622776601683795,80,21
Ot_ent,src_gkf_inbox,full,1,0.6486835305680178,10.0,81,20
Ot_ent,src_gkf_inbox,full,2,0.7297051206566283,3.1622776601683795,81,20
Ot_ent,src_gkf_inbox,full,3,0.5797541439354001,0.001,81,20
Ot_ent,src_gkf_inbox,full,4,0.6495613742049169,0.001,81,20
Ot_ent,src_gkf_inbox,h_only,0,0.6838801641343581,3.1622776601683795,80,21
Ot_ent,src_gkf_inbox,h_only,1,0.6464495518796867,1.0,81,20
Ot_ent,src_gkf_inbox,h_only,2,0.7287387448397407,0.001,81,20
Ot_ent,src_gkf_inbox,h_only,3,0.742909804971265,1.0,81,20
Ot_ent,src_gkf_inbox,h_only,4,0.6563730956847276,0.001,81,20
Ot_ent,src_gkf_inbox,minus_h,0,0.00018998986784168892,1000.0,80,21
Ot_ent,src_gkf_inbox,minus_h,1,-0.001965811355936209,1000.0,81,20
Ot_ent,src_gkf_inbox,minus_h,2,-0.00033588810240581246,1000.0,81,20
Ot_ent,src_gkf_inbox,minus_h,3,-0.0034300949618262244,1000.0,81,20
Ot_ent,src_gkf_inbox,minus_h,4,-0.0024913327600319946,1000.0,81,20
Ot_ent,src_gkf_inbox,dummy,0,0.0,,80,21
Ot_ent,src_gkf_inbox,dummy,1,0.0,,81,20
Ot_ent,src_gkf_inbox,dummy,2,0.0,,81,20
Ot_ent,src_gkf_inbox,dummy,3,0.0,,81,20
Ot_ent,src_gkf_inbox,dummy,4,0.0,,81,20
