session_id,group,data_name,slot_1_sample_id,slot_2_sample_id,width,height,dx_um,dy_um,z_step_pm,n_valid,n_invalid,valid_fraction,z_min_um,z_max_um,z_mean_um,mask_source,mask_is_fabricated,timestamp,original_name,lut_structural_ok,lut_derived_bytes,lut_verified,lut_seam_ratio,lut_seam_headroom,lut_seam_conclusive,decoded,error
zro2_120_formal,76,76,76,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,29.009,20.568,cag_raw_sentinel,False,2026-05-22 23:31:51,MeasureData20260522233155,True,776,,,,,True,
zro2_120_formal,77,77,77,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,48.89,37.358,cag_raw_sentinel,False,2026-05-22 23:33:28,MeasureData20260522233332,True,776,,,,,True,
zro2_120_formal,78,78,78,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,21.273,14.11,cag_raw_sentinel,False,2026-05-22 23:34:44,MeasureData20260522233447,True,776,,,,,True,
zro2_120_formal,79,79,79,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,28.058,20.82,cag_raw_sentinel,False,2026-05-22 23:36:10,MeasureData20260522233614,True,776,,,,,True,
zro2_120_formal,80,80,80,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,58.222,46.786,cag_raw_sentinel,False,2026-05-22 23:37:45,MeasureData20260522233748,True,776,,,,,True,
zro2_120_formal,81,81,81,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,59.82,48.823,cag_raw_sentinel,False,2026-05-22 23:39:22,MeasureData20260522233926,True,776,,,,,True,
zro2_120_formal,82,82,82,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,55.076,42.924,cag_raw_sentinel,False,2026-05-22 23:40:48,MeasureData20260522234052,True,776,,,,,True,
zro2_120_formal,83,83,83,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,56.009,44.688,cag_raw_sentinel,False,2026-05-22 23:42:25,MeasureData20260522234229,True,776,,,,,True,
zro2_120_formal,84,84,84,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,57.238,45.154,cag_raw_sentinel,False,2026-05-22 23:44:04,MeasureData20260522234407,True,776,,,,,True,
zro2_120_formal,85,85,85,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,34.155,25.041,cag_raw_sentinel,False,2026-05-22 23:45:37,MeasureData20260522234541,True,776,,,,,True,
zro2_120_formal,86,86,86,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,25.419,17.516,cag_raw_sentinel,False,2026-05-22 23:47:00,MeasureData20260522234704,True,776,,,,,True,
zro2_120_formal,87,87,87,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,59.461,43.267,cag_raw_sentinel,False,2026-05-22 23:49:16,MeasureData20260522234920,True,776,,,,,True,
zro2_120_formal,88,88,88,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,35.245,24.538,cag_raw_sentinel,False,2026-05-22 23:50:51,MeasureData20260522235055,True,776,,,,,True,
zro2_120_formal,89,89,89,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,53.434,38.026,cag_raw_sentinel,False,2026-05-22 23:52:33,MeasureData20260522235236,True,776,,,,,True,
zro2_120_formal,90,90,90,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,54.151,41.495,cag_raw_sentinel,False,2026-05-22 23:54:13,MeasureData20260522235417,True,776,,,,,True,
zro2_120_formal,91,91,91,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,57.717,46.6,cag_raw_sentinel,False,2026-05-22 23:55:57,MeasureData20260522235601,True,776,,,,,True,
zro2_120_formal,92,92,92,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,37.05,28.053,cag_raw_sentinel,False,2026-05-22 23:57:39,MeasureData20260522235742,True,776,,,,,True,
zro2_120_formal,93,93,93,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,48.403,37.933,cag_raw_sentinel,False,2026-05-22 23:59:18,MeasureData20260522235921,True,776,,,,,True,
zro2_120_formal,94,94,94,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,62.632,44.116,cag_raw_sentinel,False,2026-05-23 00:01:20,MeasureData20260523000124,True,776,,,,,True,
zro2_120_formal,95,95,95,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,54.359,43.949,cag_raw_sentinel,False,2026-05-23 00:03:10,MeasureData20260523000314,True,776,,,,,True,
zro2_120_formal,96,96,96,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,54.816,43.936,cag_raw_sentinel,False,2026-05-23 00:05:01,MeasureData20260523000504,True,776,,,,,True,
zro2_120_formal,97,97,97,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,61.099,31.636,cag_raw_sentinel,False,2026-05-23 00:09:50,MeasureData20260523000953,True,776,,,,,True,
zro2_120_formal,98,98,98,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,42.432,18.927,cag_raw_sentinel,False,2026-05-23 00:11:32,MeasureData20260523001136,True,776,,,,,True,
zro2_120_formal,99,99,99,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,21.787,14.672,cag_raw_sentinel,False,2026-05-23 00:13:19,MeasureData20260523001323,True,776,,,,,True,
zro2_120_formal,100,100,100,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,23.686,14.814,cag_raw_sentinel,False,2026-05-23 00:14:48,MeasureData20260523001452,True,776,,,,,True,
zro2_120_formal,101,101,101,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,29.752,21.801,cag_raw_sentinel,False,2026-05-23 00:16:11,MeasureData20260523001615,True,776,,,,,True,
zro2_120_formal,102,102,102,,2048,1536,0.344174,0.344174,100,3145728,0,1.0,0.0,26.394,19.634,cag_raw_sentinel,False,2026-05-23 00:17:36,MeasureData20260523001739,True,776,,,,,True,
