dataset_index,hatch_spacing_um,lambda_star_4_32_um,lambda_star_valid,lambda_peak_4_32_um,lambda_peak_valid,r_h,r_h_peak,d_int,d_int_peak,class_code,class_name
86,10.0,13.440702013523854,True,18.63547485933348,True,1.3440702013523853,1.863547485933348,0.3440702013523853,0.1364525140666519,3,m2
87,8.0,10.131240484170466,True,7.536507573664894,True,1.2664050605213082,0.9420634467081116,0.2664050605213082,0.0579365532918882,2,m1
88,8.0,12.588753428399883,True,14.860994818258504,True,1.5735941785499854,1.857624352282313,0.4264058214500146,0.1423756477176869,3,m2
89,4.0,14.33252101483079,True,,False,3.5831302537076977,,0.5831302537076977,,0,INVALID
90,4.0,12.424812267631545,True,,False,3.106203066907886,,0.1062030669078861,,0,INVALID
91,6.0,11.253448911234944,True,11.851008286901518,True,1.8755748185391572,1.97516804781692,0.1244251814608425,0.0248319521830804,3,m2
92,8.0,11.174444864870056,True,7.536507573664894,True,1.396805608108757,0.9420634467081116,0.396805608108757,0.0579365532918882,2,m1
93,8.0,14.8859280720606,True,,False,1.860741009007575,,0.1392589909924249,,0,INVALID
94,10.0,15.630671120284587,True,18.63547485933348,True,1.5630671120284587,1.863547485933348,0.4369328879715413,0.1364525140666519,3,m2
95,10.0,13.613865800001932,True,18.63547485933348,True,1.3613865800001932,1.863547485933348,0.3613865800001932,0.1364525140666519,3,m2
96,2.0,11.916759754127009,True,,False,5.958379877063504,,2.9583798770635044,,0,INVALID
