stratum_spec,stratum,target_id,model,fold,n_train_local,n_test,MAE_global,MAE_local,MAE_dummy,Skill_global,Skill_local,delta_skill
depth_q4,Q1,rms_DCT_32_64_um,ridge,1,34,13,0.5488734044291034,0.4521367163189686,0.4471190064345614,-0.22757788537319623,-0.011222313997384603,0.21635557137581163
depth_q4,Q1,rms_DCT_64_inf_um,ridge,1,34,13,1.0091468140685764,0.6293919667804958,0.6207921710500325,-0.6255791569691762,-0.013852938441406781,0.6117262185277694
depth_q4,Q1,Sq_um,extratrees,1,34,13,1.524465455305897,1.1184689879648824,0.886101401730095,-0.7204187380015528,-0.2622358860747702,0.45818285192678254
depth_q4,Q1,rms_DCT_8_16_um,extratrees,1,34,13,0.29434193176622503,0.28953787304136075,0.281287192792364,-0.046410712284002065,-0.02933187311904062,0.017078839164961446
depth_q4,Q1,rms_DCT_16_32_um,extratrees,1,34,13,0.5061933711791076,0.42744995306982975,0.3484570504783103,-0.4526707681313382,-0.2266933686177095,0.22597739951362872
depth_q4,Q1,rms_DCT_32_64_um,extratrees,1,34,13,0.6807353819640246,0.5432657831805419,0.4471190064345614,-0.5224926074880569,-0.21503621041001786,0.30745639707803907
depth_q4,Q1,rms_DCT_64_inf_um,extratrees,1,34,13,1.1635789089009132,0.6911701726954316,0.6207921710500325,-0.8743453335321381,-0.11336805605386258,0.7609772774782755
depth_q4,Q2,Sq_um,ridge,1,33,8,0.6844296519640163,1.0173480210494596,0.9139026917845282,0.2510913272095001,-0.1131907479809906,-0.3642820751904907
depth_q4,Q2,rms_DCT_8_16_um,ridge,1,33,8,0.23404183102144457,0.2504918255406103,0.2964580285009424,0.21053974417595978,0.15505130082920315,-0.05548844334675662
depth_q4,Q2,rms_DCT_16_32_um,ridge,1,33,8,0.33415197551000597,0.3872580053488902,0.4159620263738798,0.19667672930879598,0.06900634963055385,-0.12767037967824213
depth_q4,Q2,rms_DCT_32_64_um,ridge,1,33,8,0.35566717790087266,0.4096048546948331,0.4186482152646164,0.15043904420788012,0.02160133553672794,-0.12883770867115218
depth_q4,Q2,rms_DCT_64_inf_um,ridge,1,33,8,0.5660754378213249,0.8600447532631816,0.6560161241280933,0.13710133485866371,-0.31101160723185184,-0.44811294209051555
depth_q4,Q2,Sq_um,extratrees,1,33,8,0.7364545134563137,0.929443381244322,0.9139026917845282,0.19416528687722878,-0.01700475291242265,-0.21117003978965143
depth_q4,Q2,rms_DCT_8_16_um,extratrees,1,33,8,0.18258071329676256,0.17290310310188706,0.2964580285009424,0.3841262649556405,0.4167703806971197,0.032644115741479185
depth_q4,Q2,rms_DCT_16_32_um,extratrees,1,33,8,0.2742503482994099,0.2241281970188238,0.4159620263738798,0.34068417088413483,0.46118111075511903,0.1204969398709842
depth_q4,Q2,rms_DCT_32_64_um,extratrees,1,33,8,0.3460467674185008,0.3614372529100766,0.4186482152646164,0.17341874442299032,0.13665641048625576,-0.03676233393673456
depth_q4,Q2,rms_DCT_64_inf_um,extratrees,1,33,8,0.4971186188387877,0.920916317606149,0.6560161241280933,0.24221585330771433,-0.40380134532536505,-0.6460171986330794
depth_q4,Q3,Sq_um,ridge,1,42,3,0.6528368420855774,0.7297667478588862,0.6354194119815735,-0.027410919111972243,-0.1484804116750036,-0.12106949256303134
depth_q4,Q3,rms_DCT_8_16_um,ridge,1,42,3,0.18446336262577545,0.21077323122985034,0.2481756342155139,0.25672250940803953,0.15070940829422275,-0.10601310111381679
depth_q4,Q3,rms_DCT_16_32_um,ridge,1,42,3,0.35682837781833676,0.35237401037516874,0.4557190509221097,0.21699920796305494,0.2267735797698841,0.009774371806829163
depth_q4,Q3,rms_DCT_32_64_um,ridge,1,42,3,0.37401271659474294,0.34549731598400907,0.24414416056450836,-0.531933902207423,-0.4151365127273685,0.11679738948005447
depth_q4,Q3,rms_DCT_64_inf_um,ridge,1,42,3,0.5516304406324194,0.4122762951287764,0.29128975111720523,-0.8937516288050307,-0.4153477544182125,0.4784038743868182
depth_q4,Q3,Sq_um,extratrees,1,42,3,0.1120255152008192,0.2321313302810609,0.6354194119815735,0.8236983115585587,0.6346801405434677,-0.189018171015091
depth_q4,Q3,rms_DCT_8_16_um,extratrees,1,42,3,0.07606122884957539,0.10753607638491942,0.2481756342155139,0.6935185474996132,0.5666936573977448,-0.12682489010186837
depth_q4,Q3,rms_DCT_16_32_um,extratrees,1,42,3,0.17157575383652204,0.21603695875985188,0.4557190509221097,0.6235054174510529,0.5259426650636636,-0.09756275238738932
depth_q4,Q3,rms_DCT_32_64_um,extratrees,1,42,3,0.11803991102329013,0.060955937271407856,0.24414416056450836,0.5165155261122809,0.7503280966029825,0.2338125704907016
