replicate,k,max_principal_angle_deg,note
101,1,31.312184982938284,
101,2,18.826478013321385,
101,3,79.75035171704926,
101,4,89.07077808539388,
101,5,86.66114722738985,
101,6,87.53556999320527,
102,1,40.35176778967918,
102,2,44.1320986060827,
102,3,30.68161641514448,
102,4,54.155727214720464,
102,5,46.47160937574195,
102,6,85.98744629300148,
103,1,53.15780232922734,
103,2,49.55114478566511,
103,3,71.75476273195758,
103,4,85.32497661439159,
103,5,50.392427542077456,
103,6,32.6957281351679,
104,1,12.229425544150041,
104,2,11.9692508139776,
104,3,59.772303188695965,
104,4,55.90246672373637,
104,5,65.54217316789085,
104,6,81.75738893284806,
105,1,54.31116605433868,
105,2,60.41796455922451,
105,3,67.22035416412031,
105,4,72.26812611853927,
105,5,52.144432302753884,
105,6,75.59982703542057,
106,1,63.88494814240925,
106,2,52.05435092326972,
106,3,56.973781219773855,
106,4,66.74357296098081,
106,5,72.96953726214943,
106,6,75.41056961882431,
107,1,20.368937781165325,
107,2,52.77432854772493,
107,3,48.744893002576816,
107,4,87.23496946440542,
107,5,67.12841259814533,
107,6,67.9060173241102,
108,1,30.66409146304038,
108,2,15.749720928079746,
108,3,57.08919233648331,
108,4,58.85412431677326,
108,5,78.11036687925962,
108,6,83.94482254051812,
109,1,39.039832094372024,
109,2,38.290058641318055,
109,3,46.45808198136013,
109,4,68.60232409027553,
109,5,60.2041200508071,
109,6,54.97316693525259,
110,1,27.25859719641987,
110,2,23.655311955008223,
110,3,45.02379016318128,
110,4,51.761698005621724,
110,5,71.02626273873938,
110,6,82.91266997932188,
111,1,22.014856158223893,
111,2,12.309977280998924,
111,3,55.999060485721195,
111,4,52.986719917630715,
111,5,65.15637596359424,
111,6,88.7352522502593,
112,1,25.081357621172717,
112,2,86.47461716367279,
112,3,41.56539821371132,
112,4,49.03860624674032,
112,5,75.5471250521808,
112,6,58.76140464596493,
113,1,42.61003723098431,
113,2,27.343642788264813,
113,3,45.59956865777328,
113,4,39.37329550081772,
113,5,50.422119796542056,
113,6,24.07040172687542,
114,1,54.430575981490655,
114,2,19.840237247129007,
114,3,32.0168249730838,
114,4,42.67493918862127,
114,5,65.3805902907324,
114,6,62.144744478904265,
115,1,56.80581819196624,
115,2,14.094490797158459,
115,3,65.22761659449705,
115,4,29.445911564552453,
115,5,55.389201551196265,
115,6,72.37415288443214,
116,1,48.017425317326634,
116,2,52.08370295320622,
116,3,67.75997965044918,
116,4,63.8440874922636,
116,5,39.69315266497492,
116,6,42.13080993732919,
117,1,26.58454632255354,
117,2,13.337489932106623,
117,3,63.55485661576002,
117,4,89.46685365356977,
117,5,60.403800693236214,
117,6,79.27520569518678,
118,1,47.57957044195236,
118,2,68.62239724628911,
118,3,53.52433027022568,
118,4,86.07521152187425,
118,5,84.64999761473362,
118,6,82.01954806415786,
119,1,27.147384932684137,
119,2,53.43340186367307,
119,3,54.18367483192263,
119,4,89.17887073199203,
119,5,55.80266826030702,
119,6,57.30675256641849,
120,1,59.14493731109298,
120,2,52.13976405043101,
120,3,57.692881889902324,
120,4,79.38025171642573,
120,5,65.98288333385796,
120,6,88.92029451679737,
121,1,24.59411149066663,
121,2,73.19643675371816,
121,3,46.8993379269496,
121,4,58.732905356415195,
121,5,72.07007105583209,
121,6,82.3290072860802,
122,1,29.180052180834124,
122,2,48.40757230066159,
122,3,81.47272850752664,
122,4,86.90337419043165,
122,5,59.46363268509545,
122,6,84.77575132770006,
123,1,37.85656045051688,
123,2,50.070360272788506,
123,3,24.74500331382479,
