dataset_index,session_id,median_depth_um,Sq_um,Sa_um,Ssk,Sku,grad_rms_um_per_um,aniso_gradx_over_y,lap_rms_um,corr_len_um,pit_count_per_roi,pit_depth_um,rms_DCT_8_16_um,E_DCT_8_16_frac,rms_DCT_16_32_um,E_DCT_16_32_frac,rms_DCT_32_64_um,E_DCT_32_64_frac,rms_DCT_64_inf_um,E_DCT_64_inf_frac
121,zro2_20_supplement,10.9478,0.4706620161978533,0.3772612408176064,-0.06826477964259628,-0.026117584328416488,0.2776079286036921,2.050374539241121,0.22216683171238844,13.25,0,1.6108040809631348,0.3264496004551185,0.4810763209611177,0.09865263347112524,0.043933829893647317,0.12185092623709129,0.06702539279297753,0.2726910346528489,0.33567841642274865
122,zro2_20_supplement,17.1229,0.7383216024639595,0.5941073062643408,-0.3280830135612532,-0.1770654799491571,0.3945319011195416,2.224195099781443,0.2212949282734236,13.75,5,3.0231666564941406,0.48921109071424107,0.43903731857042494,0.2216594434897996,0.09013248104791823,0.12234469930682476,0.027458648939868793,0.4519231096866213,0.37466053512669567
123,zro2_20_supplement,19.3299,0.7088217393311486,0.5494378893077374,-0.18042716941000467,1.1402704772594987,0.3007961501962636,1.983219655655493,0.17120093171755776,15.75,3,2.2872400283813477,0.3792495950397838,0.28627023461595896,0.17238101204015124,0.059143196725228504,0.14526790379621798,0.04200154655137402,0.5356846233475278,0.57114226964162
124,zro2_20_supplement,47.4393,1.6789572208394665,1.0987086807191373,1.0962053424818838,0.04124533152712395,0.29710063234955497,1.3889227823544341,0.17720085740027341,25.25,0,2.1670188903808594,0.23470256370156006,0.019541432900929908,0.3419943025699948,0.04149143742848926,0.5826641123510246,0.12043626487249949,1.5072604867905635,0.8059300830931082
125,zro2_20_supplement,52.2079,0.5863284580064075,0.3974246922135353,2.3370288935668095,22.80222111438374,0.33075439136274365,1.1064943174251776,0.1917653072574916,23.25,17,1.6425189971923828,0.2656597932643034,0.20529090700942873,0.19131744791892025,0.10646998937948626,0.11204634982780941,0.03651854609249034,0.4061871711390316,0.4799217783471225
126,zro2_20_supplement,49.354,0.9145511666527417,0.6910683704912662,-0.5589958534918011,0.8248216480585397,0.2909862897611876,1.1312531744903138,0.25218647958116736,25.5,208,3.997873306274414,0.17319762729292948,0.035864754313042195,0.17013742077881117,0.03460857146825277,0.2908690772064445,0.10115307509403677,0.8097493335190823,0.783944255847152
127,zro2_20_supplement,52.27,0.7816636949329008,0.5727825930714607,-0.7262361532261348,0.20430054395961106,0.1724993075132616,1.1119989181267573,0.17243889284892502,25.5,360,2.387218475341797,0.10745026047307514,0.018896225489904234,0.11497482035254689,0.021635433274313717,0.21489431287960772,0.07558053501512334,0.7280974433986264,0.8676391290576068
128,zro2_20_supplement,40.7252,0.8844601513450345,0.6439299985766411,-0.6834112961106111,1.1314273987840027,0.40671735029416317,0.9836493302458247,0.372731310088982,25.0,448,3.5509395599365234,0.2439692345754252,0.07608754743538243,0.17113726604632373,0.0374397239327914,0.17560915933796706,0.039421921244024036,0.7680649049787117,0.7541179896495142
129,zro2_20_supplement,42.3187,0.9098665806604722,0.6283708436787129,-0.19582115173250517,2.556059229872721,0.25119868095424447,1.1182279856950772,0.18472956660856013,25.5,1255,2.9634952545166016,0.20988244219502458,0.0532104327037758,0.17378398918233426,0.036480778439832946,0.19090993712169926,0.044025230836217934,0.8302363012715948,0.8326222450477981
130,zro2_20_supplement,9.9757,0.49542326311262375,0.39353193920105695,-0.2458129240471972,0.03106926188562298,0.3252309351980134,1.3901536668188303,0.26958662635303876,9.75,10,1.9890398979187012,0.23125899648413567,0.21789360415053818,0.18553214151130157,0.14024439845297995,0.10274822072421479,0.04301261324425093,0.32604633974854264,0.433117635255307
