scale,permutation,null_median_cos_pc1_next
G16,117,0.9670470340073647
G16,118,0.9893874842874284
G16,119,0.9609652490407752
G16,120,0.9975933557933627
G16,121,0.989410166646008
G16,122,0.9637771910061941
G16,123,0.9964554452200435
G16,124,0.9782120120991518
G16,125,0.99859065073908
G16,126,0.9451211795726917
G16,127,0.9912234786445897
G16,128,0.9916054639156108
G16,129,0.9926105663172987
G16,130,0.9959329539579275
G16,131,0.9726028613424988
G16,132,0.9989225443664469
G16,133,0.9648834326769894
G16,134,0.9934857738075632
G16,135,0.9970797938152132
G16,136,0.9579528770755186
G16,137,0.9974522963444483
G16,138,0.9980626729352671
G16,139,0.9969145065593152
G16,140,0.9962814511882919
G16,141,0.9990384981601348
G16,142,0.9973431833951466
G16,143,0.9848954998817537
G16,144,0.9960725611696237
G16,145,0.9951970075146741
G16,146,0.9958043064292589
G16,147,0.9658481335270108
G16,148,0.960046529345458
G16,149,0.9940356699059283
G16,150,0.9885085971029003
G16,151,0.9960169221187836
G16,152,0.9984028438454984
G16,153,0.9891691643336454
G16,154,0.9913635461621039
G16,155,0.9955275437762938
G16,156,0.9804896337211338
G16,157,0.9891392193456899
G16,158,0.997082363091061
G16,159,0.9674668190836364
G16,160,0.9955349752869767
G16,161,0.9555434311474544
G16,162,0.9956193545331494
G16,163,0.9767090787280318
G16,164,0.9694597380138418
G16,165,0.9718699946760274
G16,166,0.9963202756879432
G16,167,0.9342112450317931
G16,168,0.9962525239430261
G16,169,0.8906463926842634
G16,170,0.987161811105806
G16,171,0.992558449472801
G16,172,0.9863637347699578
G16,173,0.9687275634328201
G16,174,0.9963352543790451
G16,175,0.99756067920479
G16,176,0.891747378327707
G16,177,0.9773447152719655
G16,178,0.9987004377981705
G16,179,0.996229072887244
G16,180,0.9972498536385511
G16,181,0.9936527174465524
G16,182,0.9967624004168968
G16,183,0.9477373892810108
G16,184,0.9676013646108531
G16,185,0.9964312155969332
G16,186,0.9886181290891185
G16,187,0.9991778773010532
G16,188,0.9914098079092993
G16,189,0.9833327198641933
G16,190,0.9669450709180767
G16,191,0.9866922109092638
G16,192,0.9971510108286534
G16,193,0.9882523033009003
G16,194,0.9789938478302878
G16,195,0.8802251409047024
G16,196,0.9551314196895934
G16,197,0.9987221959026773
G16,198,0.876888661024996
G16,199,0.9926761908634785
G16,200,0.9786693736191585
DCT_8_16,1,0.965924204283948
DCT_8_16,2,0.9790612475886327
DCT_8_16,3,0.9894528270450905
DCT_8_16,4,0.9729130836032203
DCT_8_16,5,0.9830403741751553
DCT_8_16,6,0.990183652711847
DCT_8_16,7,0.9487508309369511
DCT_8_16,8,0.9708305474196375
DCT_8_16,9,0.9414807688947389
DCT_8_16,10,0.9926357827233632
DCT_8_16,11,0.9821277733552899
DCT_8_16,12,0.9655413468602536
DCT_8_16,13,0.9839429717413913
DCT_8_16,14,0.9745091565861793
