feature,value_std,balance,response
hatch_spacing_um,0.00701879694233687,z4,-0.8058529629663329
hatch_spacing_um,0.00701879694233687,z1,-0.5396635612047092
hatch_spacing_um,0.00701879694233687,z2,-0.26553146647195786
hatch_spacing_um,0.00701879694233687,z3,0.05763131200175342
hatch_spacing_um,0.00701879694233687,z4,-0.8058529629663329
hatch_spacing_um,0.00701879694233687,z1,-0.5396635612047092
hatch_spacing_um,0.00701879694233687,z2,-0.26553146647195786
hatch_spacing_um,0.00701879694233687,z3,0.05763131200175342
hatch_spacing_um,0.00701879694233687,z4,-0.8058529629663329
hatch_spacing_um,0.00701879694233687,z1,-0.5396635612047092
hatch_spacing_um,0.00701879694233687,z2,-0.26553146647195786
hatch_spacing_um,0.00701879694233687,z3,0.05763131200175342
hatch_spacing_um,0.00701879694233687,z4,-0.8058529629663329
hatch_spacing_um,0.00701879694233687,z1,-0.5396635612047092
hatch_spacing_um,0.00701879694233687,z2,-0.26553146647195786
hatch_spacing_um,0.00701879694233687,z3,0.05763131200175342
hatch_spacing_um,0.00701879694233687,z4,-0.8058529629663329
hatch_spacing_um,0.7088984911760389,z1,-0.09580463161454927
hatch_spacing_um,0.7088984911760389,z2,-0.6074835534964573
hatch_spacing_um,0.7088984911760389,z3,0.4409732479599699
hatch_spacing_um,0.7088984911760389,z4,-0.8308305489676929
hatch_spacing_um,0.7088984911760389,z1,-0.09580463161454927
hatch_spacing_um,0.7088984911760389,z2,-0.6074835534964573
hatch_spacing_um,0.7088984911760389,z3,0.4409732479599699
hatch_spacing_um,0.7088984911760389,z4,-0.8308305489676929
hatch_spacing_um,0.7088984911760389,z1,-0.09580463161454927
hatch_spacing_um,0.7088984911760389,z2,-0.6074835534964573
hatch_spacing_um,0.7088984911760389,z3,0.4409732479599699
hatch_spacing_um,0.7088984911760389,z4,-0.8308305489676929
hatch_spacing_um,0.7088984911760389,z1,-0.09580463161454927
hatch_spacing_um,0.7088984911760389,z2,-0.6074835534964573
hatch_spacing_um,0.7088984911760389,z3,0.4409732479599699
hatch_spacing_um,0.7088984911760389,z4,-0.8308305489676929
hatch_spacing_um,0.7088984911760389,z1,-0.09580463161454927
hatch_spacing_um,0.7088984911760389,z2,-0.6074835534964573
hatch_spacing_um,0.7088984911760389,z3,0.4409732479599699
hatch_spacing_um,0.7088984911760389,z4,-0.8308305489676929
hatch_spacing_um,0.8492744300227912,z1,0.0727710829233783
hatch_spacing_um,0.8492744300227912,z2,-0.7529246240430402
hatch_spacing_um,0.8492744300227912,z3,0.5445945673688517
hatch_spacing_um,0.8492744300227912,z4,-0.7630428478334023
hatch_spacing_um,1.4107781854097408,z1,0.5570778383791783
hatch_spacing_um,1.4107781854097408,z2,-1.2034359108562862
hatch_spacing_um,1.4107781854097408,z3,0.8076116634679469
hatch_spacing_um,1.4107781854097408,z4,-0.4817888343470497
hatch_spacing_um,1.4107781854097408,z1,0.5570778383791783
hatch_spacing_um,1.4107781854097408,z2,-1.2034359108562862
hatch_spacing_um,1.4107781854097408,z3,0.8076116634679469
hatch_spacing_um,1.4107781854097408,z4,-0.4817888343470497
hatch_spacing_um,1.4107781854097408,z1,0.5570778383791783
hatch_spacing_um,1.4107781854097408,z2,-1.2034359108562862
hatch_spacing_um,1.4107781854097408,z3,0.8076116634679469
hatch_spacing_um,1.4107781854097408,z4,-0.4817888343470497
hatch_spacing_um,1.4107781854097408,z1,0.5570778383791783
hatch_spacing_um,1.4107781854097408,z2,-1.2034359108562862
hatch_spacing_um,1.4107781854097408,z3,0.8076116634679469
hatch_spacing_um,1.4107781854097408,z4,-0.4817888343470497
pass_count,-1.3877190609556886,z1,0.1484089427842482
pass_count,-1.3877190609556886,z2,-0.11839441939393797
pass_count,-1.3877190609556886,z3,0.3145566412410176
pass_count,-1.3877190609556886,z4,-0.49170290558798535
pass_count,-1.3877190609556886,z1,0.1484089427842482
pass_count,-1.3877190609556886,z2,-0.11839441939393797
pass_count,-1.3877190609556886,z3,0.3145566412410176
pass_count,-1.3877190609556886,z4,-0.49170290558798535
pass_count,-1.3877190609556886,z1,0.1484089427842482
pass_count,-1.3877190609556886,z2,-0.11839441939393797
pass_count,-1.3877190609556886,z3,0.3145566412410176
pass_count,-1.3877190609556886,z4,-0.49170290558798535
pass_count,-1.3877190609556886,z1,0.1484089427842482
pass_count,-1.3877190609556886,z2,-0.11839441939393797
pass_count,-1.3877190609556886,z3,0.3145566412410176
pass_count,-1.3877190609556886,z4,-0.49170290558798535
