target,input_set,model,cv_variant,Q2_median,Q2_q25,Q2_q75,n_pos,n_folds,dA_median_median,R2_z1_median,R2_z2_median,R2_z3_median,R2_z4_median,R2_median,R2_q25,R2_q75
A2_8_16,C,dummy,src_gkf,,,,0,5,,,,,,-0.07539379342606489,-0.2243622502479854,-0.02137675934247718
A2_8_16,C,dummy,src_gss,,,,0,5,,,,,,-0.009730711546714677,-0.02143826145520511,-0.007783279477246774
A2_8_16,C,extratrees,proc_gkf,,,,5,5,,,,,,0.6000238473812657,0.4042041184656968,0.6344109588552339
A2_8_16,C,extratrees,proc_gss,,,,5,5,,,,,,0.5485870416555596,0.5207588822104927,0.692288383431388
A2_8_16,C,extratrees,src_gkf,,,,5,5,,,,,,0.5036655954064391,0.4090261444158376,0.7432645238374991
A2_8_16,C,extratrees,src_gss,,,,5,5,,,,,,0.6660475621871811,0.6255598425153699,0.7037306985853748
A2_8_16,C,ridge,proc_gkf,,,,5,5,,,,,,0.49024934556409505,0.33069489545624253,0.5817303410580077
A2_8_16,C,ridge,proc_gss,,,,5,5,,,,,,0.5200741563663855,0.4121312926083769,0.5569605379652172
A2_8_16,C,ridge,src_gkf,,,,5,5,,,,,,0.5321117835683647,0.4119554916940551,0.6418400553543451
A2_8_16,C,ridge,src_gss,,,,5,5,,,,,,0.5322593151959638,0.5209633769676694,0.5585723283648623
A2_8_16,C,spline,proc_gkf,,,,0,5,,,,,,-0.1172390650555113,-0.46326963471392446,-0.08328854355215354
A2_8_16,C,spline,proc_gss,,,,0,5,,,,,,-0.13068612715533368,-0.44554584134659003,-0.11148026298940028
A2_8_16,C,spline,src_gkf,,,,1,5,,,,,,-0.8712387998816296,-1.0991106809259756,-0.33457047037435084
A2_8_16,C,spline,src_gss,,,,0,5,,,,,,-0.10080063946756335,-0.10373530732609137,-0.09737689472273092
A2_8_16,R,dummy,src_gkf,,,,0,5,,,,,,-0.07539379342606489,-0.2243622502479854,-0.02137675934247718
A2_8_16,R,extratrees,src_gkf,,,,5,5,,,,,,0.35317075729112235,0.10547861911883205,0.4801730977552656
A2_8_16,R,ridge,src_gkf,,,,2,5,,,,,,-0.003963416623286253,-0.038414585971623616,0.04217125512235409
A2_8_16,R,spline,src_gkf,,,,0,5,,,,,,-0.29860372523100276,-0.45587685356217156,-0.19681043332475157
Sq_um,A,dummy,proc_gkf,,,,0,5,,,,,,-0.015155326981033168,-0.03527790734691383,-0.001293578373268378
Sq_um,A,dummy,proc_gss,,,,0,5,,,,,,-0.11117921420175003,-0.14628101643272196,-0.02327976188017944
Sq_um,A,dummy,src_gkf,,,,0,5,,,,,,-0.014183565903596485,-0.018690561550714913,-0.0057710792569347635
Sq_um,A,dummy,src_gss,,,,0,5,,,,,,-0.0033064720730227037,-0.010827195870103168,-0.000430273680446458
Sq_um,A,extratrees,proc_gkf,,,,3,5,,,,,,0.057376914046698646,-0.014188565865894232,0.09870544679906423
Sq_um,A,extratrees,proc_gss,,,,1,5,,,,,,-0.12751251653569629,-0.38904261618984015,-0.041383066627850296
Sq_um,A,extratrees,src_gkf,,,,3,5,,,,,,0.03344937462130948,-0.19184910683839584,0.12486090439065312
Sq_um,A,extratrees,src_gss,,,,4,5,,,,,,0.08714343174815842,0.029055248252717103,0.09705915837214918
Sq_um,A,ridge,proc_gkf,,,,5,5,,,,,,0.10953588865338504,0.07281911132241548,0.16040817936701013
Sq_um,A,ridge,proc_gss,,,,4,5,,,,,,0.08324568191401183,0.04533512880255708,0.17157598479723557
Sq_um,A,ridge,src_gkf,,,,3,5,,,,,,0.07789260638234718,-0.08431749048850534,0.14761011066079643
Sq_um,A,ridge,src_gss,,,,4,5,,,,,,0.1268157139053362,0.11705317432822848,0.27103298001244525
Sq_um,A,spline,proc_gkf,,,,0,5,,,,,,-0.024956148668065836,-0.1525887860505375,-0.0003588690167211084
Sq_um,A,spline,proc_gss,,,,0,5,,,,,,-0.13746457551339564,-0.32500399107155675,-0.09835331546886161
Sq_um,A,spline,src_gkf,,,,0,5,,,,,,-0.06994679573234808,-0.07998143424836246,-0.04132200857429624
Sq_um,A,spline,src_gss,,,,0,5,,,,,,-0.04134296270274063,-0.16325259866356667,-0.011260727291907857
Sq_um,C,dummy,proc_gkf,,,,0,5,,,,,,-0.015155326981033168,-0.03527790734691383,-0.001293578373268378
Sq_um,C,dummy,proc_gss,,,,0,5,,,,,,-0.11117921420175003,-0.14628101643272196,-0.02327976188017944
Sq_um,C,dummy,src_gkf,,,,0,5,,,,,,-0.014183565903596485,-0.018690561550714913,-0.0057710792569347635
Sq_um,C,dummy,src_gss,,,,0,5,,,,,,-0.0033064720730227037,-0.010827195870103168,-0.000430273680446458
Sq_um,C,extratrees,proc_gkf,,,,4,5,,,,,,0.10662502393587536,0.03858795815862104,0.15201759025845485
Sq_um,C,extratrees,proc_gss,,,,2,5,,,,,,-0.11632571685952975,-0.20489842357151855,0.04488643378154111
