dataset_index,p_lt8,p_8_16,p_16_32,p_32_64,p_64_inf,dc_offset_frac,dc_to_non_dc_ratio
150,0.1319735954017546,0.18862395531659412,0.1714457058799206,0.05885973505367025,0.4490970083480607,9.622567164097551e-06,9.622659758787377e-06
151,0.05669959470759896,0.1255392642729608,0.22163514541034765,0.17273745849455518,0.4233885371145375,7.24986717909459e-06,7.249919740049765e-06
152,0.018449649396813775,0.0364217616612413,0.038790146229898535,0.07907323570818968,0.8272652070038568,0.07413481757283447,0.08007085586530995
153,0.012881923212299294,0.028752019961765823,0.06510720497198043,0.09788856523224992,0.7953702866217046,0.18800420352288547,0.2315334689398041
154,0.01866317854968127,0.03286268211464187,0.0834847957060579,0.19653812166851828,0.6684512219611007,0.07155291546382314,0.07706730588697873
155,0.02388714764780396,0.04164359587620921,0.1172075268204676,0.1506713113941119,0.6665904182614075,0.05645579554154613,0.059833757946665435
156,0.11153821959388412,0.4358789631566422,0.12923570962368203,0.16021689020721933,0.1631302174185722,0.00952285904906438,0.009614415775331966
157,0.11591057878290617,0.2648002595102144,0.24765108053740695,0.11465806377265439,0.25698001739681825,9.703884531513912e-05,9.704826276649782e-05
158,0.22003995052278708,0.4961240478265122,0.21729859235919213,0.017817234504505133,0.04872017478700326,0.002057469857163454,0.002061711766978171
159,0.2697822138304012,0.4015733472101155,0.1376883961962855,0.03470595401930609,0.15625008874389176,0.0002859862125261293,0.00028606802403684847
160,0.3279079697437324,0.5088771820307446,0.12001560927977999,0.03185383386361987,0.011345405082123203,0.0005112008708658623,0.0005114623308548104
161,0.2842447436255917,0.3550479848987524,0.17537624644451272,0.03695447698532245,0.1483765480458206,0.0035937847716939306,0.0036067466428543788
162,0.041026057051733025,0.06877757081075368,0.14399135939141539,0.09945319222691601,0.6467518205191819,0.10635471709865146,0.11901222905060888
163,0.11138641884459964,0.4710725716838595,0.1986920710746604,0.04752656486773318,0.1713223735291474,0.004391442123886061,0.004410811949280672
164,0.07383428144409518,0.6764301662347564,0.08405332785583716,0.01961301015660559,0.14606921430870592,0.0016836588193146437,0.0016864983070630896
165,0.057227809396077786,0.7778128600771657,0.07192593283441297,0.028028918523120495,0.06500447916922299,0.004147126354922223,0.004164396633955248
166,0.13186459128670905,0.6945002041668196,0.07168719270000823,0.05503107160701499,0.04691694023944827,0.04266131250654826,0.04456240311174103
167,0.002232767892030411,0.030119836043533507,0.009130709072202203,0.0700192542684931,0.8884974327237405,0.058236353735299604,0.0618375469962993
168,0.23340162156660832,0.19133275492788743,0.07322335296121497,0.11885838606183127,0.38318388448245794,0.001170471331405378,0.0011718429399715244
169,0.139110901392404,0.18425149026618123,0.09721259156639116,0.11686070103686007,0.46256431573816326,1.5438460502488017e-05,1.5438698852230456e-05
170,0.3222192099555758,0.3336929555162605,0.20463725978085157,0.06377144070874693,0.07567913403856516,6.697540407660681e-05,6.697989008181005e-05
171,0.18248247528595476,0.2025555550279888,0.1880534564447802,0.13582036826292376,0.2910881449783524,0.002829155733268157,0.002837182564587087
172,0.15275250412286462,0.7385844374380425,0.02816964012631001,0.01101745083488146,0.06947596747790134,0.0006550229722519602,0.0006554523085712899
173,0.1299220905554827,0.7192385949231982,0.0682505580499084,0.014802692227225314,0.06778606424418548,0.0021477779991138884,0.0021524008783657157
174,0.30694810326919,0.5141086157929576,0.1191415318723256,0.02590256945098619,0.03389917961454055,0.00012899117580520136,0.00012900781667516236
175,0.030946138187312844,0.2465341404848374,0.32678484636954996,0.29723314671576795,0.09850172824253191,0.005667712348834247,0.005700018413585508
176,0.07271343011408894,0.16640498566708753,0.2707061595603883,0.31668487649657606,0.1734905481618591,0.010207024329459385,0.01031228204316623
177,0.1649415179423839,0.17055216288244585,0.05575406488361598,0.06358351506461442,0.5451687392269398,0.02009992866043255,0.020512222876925647
178,0.07170885577363044,0.10967719458115921,0.08348858143463102,0.049144897984793094,0.6859804702257862,0.03219570640548707,0.03326675301874235
179,0.05985514204877496,0.08059610386861009,0.07320703399155885,0.06017875442804117,0.7261629656630151,0.06155639555133957,0.06559413401032683
