dataset_index,band,A2,theta_k_deg,theta_stripe_deg,angular_entropy
18,8_16,0.1760543368890682,80.7030317402081,170.7030317402081,0.9140396191196739
18,16_32,0.5892694189486222,-81.02575283385981,8.974247166140188,0.646810200340059
18,32_64,0.4031154275147966,-46.86781389727553,43.13218610272447,0.5113188427169427
18,64_inf,0.5164358252871312,-5.1508768538703295e-15,90.0,0.1543525853103581
19,8_16,0.22740175093591639,-46.43166306961394,43.56833693038606,0.891137705691211
19,16_32,0.20806150315704827,-35.09126036600856,54.90873963399144,0.7581119696813389
19,32_64,0.28112218917383347,-18.726646567345288,71.27335343265472,0.45346271676902533
19,64_inf,0.402186226519161,-6.115781996717501e-15,90.0,0.1702056757708853
20,8_16,0.4099374185918524,3.0104139672011523,93.01041396720115,0.8939461590236412
20,16_32,0.1983989873042302,32.44774923737706,122.44774923737705,0.7621028849998367
20,32_64,0.548962812953191,45.211501191653305,135.2115011916533,0.47835899337702414
20,64_inf,0.28024704808124784,-8.013573584626282e-15,89.99999999999999,0.18231997698249344
21,8_16,0.373194618850939,-8.06549893296113,81.93450106703887,0.8586780666095858
21,16_32,0.24867489716033242,-78.1563175473269,11.843682452673093,0.721855902884194
21,32_64,0.23157687597870036,-71.47396578731633,18.52603421268367,0.5163949551223078
21,64_inf,0.7254216455666004,-90.0,0.0,0.11162543820389917
22,8_16,0.19878310931441195,-85.10889479665516,4.891105203344836,0.9037557858154316
22,16_32,0.39288494688273357,67.45042231852807,157.45042231852807,0.6289821752321048
22,32_64,0.5241762150092858,2.0867053649125404,92.08670536491255,0.4481893658822246
22,64_inf,0.04220232307645179,-4.332007220335715e-14,89.99999999999996,0.1931778260093066
23,8_16,0.39352020883880784,-80.77743514771382,9.222564852286183,0.8812181089583156
23,16_32,0.44083715883109154,57.801240904600526,147.80124090460052,0.6579685134015888
23,32_64,0.5367893294106024,62.79752647684799,152.797526476848,0.48440796745709147
23,64_inf,0.7948361796028247,-90.0,0.0,0.09228896526145579
24,8_16,0.13979299705992654,73.16033536291224,163.16033536291224,0.9474204100320134
24,16_32,0.015239866619204886,33.49684445777337,123.49684445777336,0.8023681910317061
24,32_64,0.3177779084905267,-28.3637481922204,61.6362518077796,0.5147752546735799
24,64_inf,0.9675091812469335,-3.567263296978624e-15,90.0,0.023173569161258446
25,8_16,0.6984861392748491,0.7614311489663772,90.76143114896638,0.5816707058259681
25,16_32,0.28500478929258427,-33.7060308803064,56.2939691196936,0.793422126501487
25,32_64,0.6308128068744601,-23.549280960085134,66.45071903991487,0.3818026451557169
25,64_inf,0.5946823909571896,-4.7039490873560495e-15,90.0,0.14066237668253853
26,8_16,0.3277592868738584,21.709467110500018,111.70946711050001,0.9225450729133733
26,16_32,0.31009828440345916,16.565993581102894,106.5659935811029,0.8200632454724791
26,32_64,0.2179864282791573,30.36048199732574,120.36048199732573,0.5625937670910904
26,64_inf,0.01689484000944303,-1.0558335378639701e-13,89.9999999999999,0.19338657555938787
27,8_16,0.4289387730949569,3.5874736400471883,93.5874736400472,0.7550180697432503
27,16_32,0.23545216021687806,-3.0969584703136857,86.90304152968632,0.7939702951897054
27,32_64,0.21216969575899625,-30.00255484955732,59.99744515044268,0.557622620491342
27,64_inf,0.43053063987501083,-90.0,0.0,0.16669916988371483
28,8_16,0.3652046962555679,-12.459589751205566,77.54041024879443,0.8950148339178446
28,16_32,0.06947013413041761,-7.365744653913824,82.63425534608618,0.816862662363664
28,32_64,0.2616925200080131,48.9778743365362,138.97787433653622,0.4505637373707911
