session_id,measurement_id,sample_id,profile_axis,position_um,height_median_um,valid_count
zro2_120_formal,2,2,u,11.25,-8.603468390527077,96
zro2_120_formal,2,2,u,11.75,-8.61870625385174,96
zro2_120_formal,2,2,u,12.25,-8.631227594709284,96
zro2_120_formal,2,2,u,12.75,-8.629220180044449,96
zro2_120_formal,2,2,u,13.25,-8.610783896132904,96
zro2_120_formal,2,2,u,13.75,-8.614321681540812,96
zro2_120_formal,2,2,u,14.25,-8.619022386874622,96
zro2_120_formal,2,2,u,14.75,-8.629636123781978,96
zro2_120_formal,2,2,u,15.25,-8.63537525621894,96
zro2_120_formal,2,2,u,15.75,-8.629748549046067,96
zro2_120_formal,2,2,u,16.25,-8.621734873103254,96
zro2_120_formal,2,2,u,16.75,-8.640847189490948,96
zro2_120_formal,2,2,u,17.25,-8.65903874972457,96
zro2_120_formal,2,2,u,17.75,-8.64426723102481,96
zro2_120_formal,2,2,u,18.25,-8.652534686525797,96
zro2_120_formal,2,2,u,18.75,-8.621042201796577,96
zro2_120_formal,2,2,u,19.25,-8.622890424280259,96
zro2_120_formal,2,2,u,19.75,-8.631400896541487,96
zro2_120_formal,2,2,u,20.25,-8.63461728829547,96
zro2_120_formal,2,2,u,20.75,-8.647270145260144,96
zro2_120_formal,2,2,u,21.25,-8.620517297386591,96
zro2_120_formal,2,2,u,21.75,-8.60496774636233,96
zro2_120_formal,2,2,u,22.25,-8.613780173510222,96
zro2_120_formal,2,2,u,22.75,-8.626912513540791,96
zro2_120_formal,2,2,u,23.25,-8.639754036149291,96
zro2_120_formal,2,2,u,23.75,-8.626336009805105,96
zro2_120_formal,2,2,u,24.25,-8.585673370413222,96
zro2_120_formal,2,2,u,24.75,-8.58968339671772,96
zro2_120_formal,2,2,u,25.25,-8.574201783000465,96
