arm,target_id,input_set,model,fold,R2
minus_top1,median_depth_um,A,extratrees,4,0.9191478958831251
minus_top1,Sq_um,A,ridge,4,0.18269597954708983
minus_top1,Sq_um,A,extratrees,4,0.21681684300106718
minus_top1,E_DCT_8_16_frac,A,ridge,4,0.2476023042943074
minus_top1,E_DCT_8_16_frac,A,extratrees,4,0.4519235665711122
minus_top1,rms_DCT_8_16_um,A,ridge,4,0.3141957486178041
minus_top1,rms_DCT_8_16_um,A,extratrees,4,0.36998245691569853
minus_top1,rms_DCT_16_32_um,A,ridge,4,0.4219444109968147
minus_top1,rms_DCT_16_32_um,A,extratrees,4,0.4876815449128967
minus_top1,rms_DCT_32_64_um,A,ridge,4,0.2684913850041226
minus_top1,rms_DCT_32_64_um,A,extratrees,4,0.3937527268304307
minus_top1,rms_DCT_64_inf_um,A,ridge,4,0.11934681823610604
minus_top1,rms_DCT_64_inf_um,A,extratrees,4,0.10612214713945944
minus_top1,median_depth_um,R,ridge,4,0.42257128708222724
minus_top1,median_depth_um,R,extratrees,4,0.6941152397486825
minus_top1,Sq_um,R,ridge,4,0.18788290839623578
minus_top1,Sq_um,R,extratrees,4,0.2089921998243368
minus_top1,E_DCT_8_16_frac,R,ridge,4,0.01361244843901166
minus_top1,E_DCT_8_16_frac,R,extratrees,4,0.40540330249991385
minus_top1,rms_DCT_8_16_um,R,ridge,4,0.24983709662511977
minus_top1,rms_DCT_8_16_um,R,extratrees,4,0.39882064978019904
minus_top1,rms_DCT_16_32_um,R,ridge,4,0.3458608406229975
minus_top1,rms_DCT_16_32_um,R,extratrees,4,0.5100084789544572
minus_top1,rms_DCT_32_64_um,R,ridge,4,0.25455126217435775
minus_top1,rms_DCT_32_64_um,R,extratrees,4,0.36261137793890097
minus_top1,rms_DCT_64_inf_um,R,ridge,4,0.1265245738412223
minus_top1,rms_DCT_64_inf_um,R,extratrees,4,0.05838342028233323
minus_top5,median_depth_um,A,ridge,0,0.6027832048345412
minus_top5,median_depth_um,A,extratrees,0,0.9156719557233417
minus_top5,Sq_um,A,ridge,0,0.2298124342157507
minus_top5,Sq_um,A,extratrees,0,0.2519162791024222
minus_top5,E_DCT_8_16_frac,A,ridge,0,0.3929496720909553
minus_top5,E_DCT_8_16_frac,A,extratrees,0,0.6337963985911705
minus_top5,rms_DCT_8_16_um,A,ridge,0,0.405374624889663
minus_top5,rms_DCT_8_16_um,A,extratrees,0,0.5014603502427892
minus_top5,rms_DCT_16_32_um,A,ridge,0,0.35702304176141986
